objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,display_template,type,format,language,rights,rightsstatement
col008_mp_169,col008_meridianpolice_162.jpg,Gene Hiner Nyssa Police Tie Clip,Gene Hiner Family,1961,"Gene Hiner Nyssa Police tie clip, from 1961-1962 when Hiner served in the Nyssa Oregon Police Department. Part of the Gene Hiner Police Career Display presented to the MPD by Gene Hiner's family. ",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,Meridian Police Department,,image,Image;StillImage,image/jpeg,eng,,
col008_mp_170,col008_meridianpolice_163.jpg,Gene Hiner Name Tag,Gene Hiner Family,1954,"Gene Hiner name tag, which could have been used any time during his 1954-1973 police officer career. Part of the Gene Hiner Police Career Display presented to the MPD by Gene Hiner's family. ",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,Meridian Police Department,,image,Image;StillImage,image/jpeg,eng,,
col008_mp_171,col008_meridianpolice_164.jpg,Gene Hiner Name Engraved Lighter,Gene Hiner Family,1954,"Gene Hiner engraved lighter, which could have been used any time during his 1954-1973 police officer career. Part of the Gene Hiner Police Career Display presented to the MPD by Gene Hiner's family. ",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,Meridian Police Department,,image,Image;StillImage,image/jpeg,eng,,
col008_mp_172,col008_meridianpolice_165.jpg,Gene Hiner Tiny Lighter,Gene Hiner Family,1954,"Gene Hiner tiny lighter, which could have been used anyime during his 1954-1973 police officer career. Part of the Gene Hiner Police Career Display presented to the MPD by Gene Hiner's family. ",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,Meridian Police Department,,image,Image;StillImage,image/jpeg,eng,,
col008_mp_173,col008_meridianpolice_166.jpg,Gene Hiner MPD Collar Pin,Gene Hiner Family,1963,"Gene Hiner MPD collar pin, the first part of his MPD collar pin set. The matching collar pin says ""Chief."" The MPD and Chief pins would be pined, one on each side of the shirt collar. Hiner would have worn this between 1963-1973. Part of the Gene Hiner Police Career Display presented to the MPD by Gene Hiner's family. ",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,Meridian Police Department,,image,Image;StillImage,image/jpeg,eng,,
col008_mp_174,col008_meridianpolice_167.jpg,Gene Hiner Chief Collar Pin,Gene Hiner Family,1963,"Gene Hiner Chief collar pin, the second part of his MPD collar pin set. The matching collar pin says ""MPD."" The MPD and Chief pins would be pined, one on each side of the shirt collar. Hiner would have worn this between 1963-1973. Part of the Gene Hiner Police Career Display presented to the MPD by Gene Hiner's family. ",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,Meridian Police Department,,image,Image;StillImage,image/jpeg,eng,,
col008_mp_175,col008_meridianpolice_168.jpg,Gene Hiner Ada County Deputy Sheriff Patch,Gene Hiner Family,1958,"Gene Hiner Ada County Deputy Sheriff patch, from when Hiner served as a Deputy Sheriff in 1958. Part of the Gene Hiner Police Career Display presented to the MPD by Gene Hiner's family. ",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,Meridian Police Department,,image,Image;StillImage,image/jpeg,eng,,
col008_mp_176,col008_meridianpolice_169.jpg,"Gene Hiner Knife, Sheath, and Handcuffs ",Gene Hiner Family,1954,"Gene Hiner knife, sheath, and handcuffs, which could have been used at anytime during his 1954-1973 police career. Part of the Gene Hiner Police Career Display presented to the MPD by Gene Hiner's family. ",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,Meridian Police Department,,image,Image;StillImage,image/jpeg,eng,,
col008_mp_177,col008_meridianpolice_170.jpg,Gene Hiner Handcuff Key and Baton Sheath,Gene Hiner Family,1954,"Gene Hiner handcuff key and baton sheath, which could have been used at anytime during his 1954-1973 police career. Part of the Gene Hiner Police Career Display presented to the MPD by Gene Hiner's family. ",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,Meridian Police Department,,image,Image;StillImage,image/jpeg,eng,,
col008_mp_178,col008_meridianpolice_171.jpg,Gene Hiner Police Whistle ,Gene Hiner Family,1954,"Gene Hine police whistle, which could have been used at anytime during his 1954-1973 police career. Part of the Gene Hiner Police Career Display presented to the MPD by Gene Hiner's family. ",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,Meridian Police Department,,image,Image;StillImage,image/jpeg,eng,,
col008_mp_179,col008_meridianpolice_172.jpg,"Gene Hiner Baton, Miranda Card, Name Tag, and Flag Patch",Gene Hiner Family,1954,"Gene Hiner police baton, Miranda Rights card, name tag, and flag patch. Most of these items could have been used at any point in Hiner's police career (1954-1973), except for the Miranda Warning card. Miranda Rights developed out of the 1966 United States Supreme Court case, Miranda v. Arizona. This means that Hiner was Meridian Police Chief at the introduction of Miranda Rights.  Part of the Gene Hiner Police Career Display presented to the MPD by Gene Hiner's family. ",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,Meridian Police Department,,image,Image;StillImage,image/jpeg,eng,,
col008_mp_180,col008_meridianpolice_173.jpg,Gene Hiner Police Buttons,Gene Hiner Family,1954,"Gene Hiner police buttons, which could have been used at anytime during his 1954-1973 police career. Part of the Gene Hiner Police Career Display presented to the MPD by Gene Hiner's family. ",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,Meridian Police Department,,image,Image;StillImage,image/jpeg,eng,,
col008_mp_181,col008_meridianpolice_174.jpg,Gene Hiner Police Chief Door Plate,Gene Hiner Family,1963,"Gene Hiner Police Chief door plate, which would have been used during Hiner's 1963-1973 service as Meridian Police Chief. Part of the Gene Hiner Police Career Display presented to the MPD by Gene Hiner's family. ",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,Meridian Police Department,,image,Image;StillImage,image/jpeg,eng,,
col008_mp_182,col008_meridianpolice_175.jpg,Boise Police Reserve Sergeant Badge,Boise Police Department,2007,"Boise Police Reserve Sergeant badge, part of MPD's Idaho patch and badge collection circa 2007. The patch and badge collection hangs on the MPD meeting room wall, and indicates the respect Meridian Police officers have for other police in the surrounding areas. ",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,Meridian Police Department,,image,Image;StillImage,image/jpeg,eng,,
col008_mp_183,col008_meridianpolice_176.jpg,Boise Police Reserve Badge,Boise Police Department,2007,"Boise Police Reserve badge, part of MPD's Idaho patch and badge collection circa 2007. The patch and badge collection hangs on the MPD meeting room wall, and indicates the respect Meridian Police officers have for other police in the surrounding areas. ",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,Meridian Police Department,,image,Image;StillImage,image/jpeg,eng,,
col008_mp_184,col008_meridianpolice_177.jpg,Boise Auxiliary Police Patrolman Badge,Boise Police Department,2007,"Boise Police Auxiliary Police Patrolman badge, part of MPD's Idaho patch and badge collection circa 2007. The patch and badge collection hangs on the MPD meeting room wall, and indicates the respect Meridian Police officers have for other police in the surrounding areas. ",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,Meridian Police Department,,image,Image;StillImage,image/jpeg,eng,,
col008_mp_185,col008_meridianpolice_178.jpg,Boise Police Intern Badge,Boise Police Department,2007,"Boise Police Intern badge, part of MPD's Idaho patch and badge collection circa 2007. The patch and badge collection hangs on the MPD meeting room wall, and indicates the respect Meridian Police officers have for other police in the surrounding areas. ",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,Meridian Police Department,,image,Image;StillImage,image/jpeg,eng,,
col008_mp_186,col008_meridianpolice_179.jpg,Boise Police Intern Badge,Boise Police Department,2007,"Boise Police Intern badge, part of MPD's Idaho patch and badge collection circa 2007. The patch and badge collection hangs on the MPD meeting room wall, and indicates the respect Meridian Police officers have for other police in the surrounding areas.",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,Meridian Police Department,,image,Image;StillImage,image/jpeg,eng,,
